Title,Abstract,Document Type,Region / Country,HDP Tags,Thematic Tags,DAC Recommendation,Affiliations,Authors,Publication Year,Language,Link,Rating,Banner,PDF
IASC Light Guidance on Collective Outcomes,"This guidance is aimed at senior management across the humanitarian, development and peace community at country level, including the United Nations Resident / Humanitarian Coordinator (UNRC / HC) and their Resident Coordinator’s Office (RCO), Special or Deputy Special Representatives of the Secretary General (SRSG / DSRSG) and their teams, UN and Non-Governmental Organization (NGO) agency heads, United Nations Country Teams (UNCTs) / Humanitarian Country Teams (HCTs), and donor representatives.

It may also be helpful to individuals responsible for implementing programmes at field level which contribute to collective outcomes. 

The guidance uses the collective term the “HDP Community” to describe the full range of humanitarian, development and peace actors working and funding in a country. ",Toolkit,,"Humanitarian,Development,Peace",,"4. Programming: Prioritising prevention,9. Programming: Learning and evidence",IASC,IASC,2020,English,https://interagencystandingcommittee.org/sites/default/files/migrated/2021-02/UN-IASC%20Collective%20Outcomes%20Light%20Guidance.pdf,,,IASC Light Guidance on Collective Outcomes.pdf
IASC Reference Module for the Implementation of The Humanitarian Programme Cycle,"The IASC Reference Module for the Implementation of the Humanitarian Program Cycle defines the roles and responsibilities of international humanitarian actors and the way that they interact with each other, national and local authorities, civil society and with people affected by crises. The reference module is formed around the six key elements of the humanitarian program cycle and two enablers.",Guide,,Humanitarian,"Governance,Resilience,Displacement & Migration","1. Coordination: Joint analysis,2. Coordination: Empowered leadership,5. Programming: People at the centre,6. Programming: Do no harm,9. Programming: Learning and evidence,10. Financing: Develop evidence-based strategies,11. Financing: Predictable flexible multi-year",Inter-Agency Standing Committee (IASC),,2015,English,https://interagencystandingcommittee.org/iasc-transformative-agenda/documents-public/iasc-reference-module-implementation-humanitarian,,IASC Reference Module for the Implementation of The Humanitarian Programme Cycle.webp,IASC Reference Module for the Implementation of the Humanitarian Programme Cycle 2015 (Version 2).pdf
IASC Second Mapping of Good Practice in the Implementation of HDP Nexus Approaches: 2024 Synthesis Report,"This IASC synthesis report presents findings from the second mapping of good practice in HDP nexus implementation, carried out by IASC Task Force 4 across 11 countries. It serves as an update to the 2021 mapping and assesses progress, outcomes achieved, remaining barriers, and enablers for scale-up.

The report has three focus areas beyond operational progress: impact for communities in terms of vulnerability reduction and resilience; the perspectives of local and national actors (LNAs), who are often underrepresented in country-level reporting; and the peace dimension of the nexus and related lessons. It provides practical recommendations for collective IASC action to strengthen nexus approaches and produce tangible results for vulnerable communities.",Report,,"Humanitarian,Development,Peace","Coordination,Localisation,Peace & Security,Learning & Evidence","1. Coordination: Joint analysis,8. Programming: National and local capacities,9. Programming: Learning and evidence",Inter-Agency Standing Committee (IASC),IASC Task Force 4,2024,English,https://alnap.hacdn.io/media/documents/202420Mapping20good20practice20in20the20humanitarian20development20peace20nexus20s_1VZ.pdf,,IASC Second Mapping of Good Practice in the Implementation of HDP Nexus Approaches 2024 Synthesis Report.webp,IASC Second Mapping of Good Practice in the Implementation of HDP Nexus Approaches 2024 Synthesis Report.pdf
IASC Task Team on Strengthening the Humanitarian-Development Nexus in Protracted Settings: Progress Report 2018,Progress report documenting IASC Task Team activities aimed at strengthening the humanitarian-development nexus in protracted crisis settings in the period preceding the 2019 OECD DAC Recommendation on the HDP Nexus. Covers the development of a mapping of country pilots; production of country snapshots; collective outcome research; contributions to UN course materials; a regional workshop for West and Central African practitioners in Dakar; and coordination with broader IASC and UNDG mechanisms. An important institutional record of how the nexus agenda was built within the UN system in the lead-up to the DAC Recommendation.,Report,,"Humanitarian,Development","Coordination,Policy & Strategy,Governance","1. Coordination: Joint analysis,2. Coordination: Empowered leadership",IASC,IASC,2018,English,https://reliefweb.int/report/world/iasc-task-team-strengthening-humanitarian-development-nexus-hdn-tt-protracted-settings,,IASC Task Team on Strengthening the Humanitarian-Development Nexus in Protracted Settings Progress Report 2018.webp,IASC Task Team on Strengthening the Humanitarian-Development Nexus in Protracted Settings Progress Report 2018.pdf
"Implementation Roadmap For Nutrition Centric-Humanitarian, Development And Peace Triple Nexus Operationalization In Ethiopia","The document presents an implementation roadmap for the Nutrition Centric-Humanitarian, Development, and Peace Triple Nexus (NC-HDPTN) approach in Ethiopia. It outlines strategies for collaborating humanitarian, development, and peacebuilding actors to enhance food security, nutrition, and resilience among vulnerable populations in the country. The roadmap details a multi-phase plan, including inception, implementation, and dissemination phases running from 2023 to 2030. It emphasizes the importance of joint situation assessment, need analysis, scalable multi-sector programming, flexible financing mechanisms, and conflict-sensitive approaches. The roadmap aims for specific outcomes like improved food and nutrition security, enhanced community resilience, and sustainable peacebuilding, with targeted reductions in child malnutrition rates and increased community participation in peace initiatives. The plan involves various stakeholders, including government bodies, NGOs, donors, and local communities, with a focus on sustainable and locally driven solutions. Key metrics and performance indicators are defined to track progress and impact throughout the initiative.",Strategy,Ethiopia,"Development,Humanitarian,Peace","Environment,Health,Economic Development,Food Security & Nutrition,Disaster Risk Reduction,Protection,Displacement & Migration,Governance,Resilience","4. Programming: Prioritising prevention,8. Programming: National and local capacities,11. Financing: Predictable flexible multi-year","Ethiopia Ministry of Health, Ethiopian Disaster Risk Management Commision","Ethiopia Ministry of Health, Ethiopian Disaster Risk Management Commision",2024,English,https://n4d.group/wp-content/uploads/2024/10/Implementation-Roadmap-for-Nutrition-Centric-Humanitarian-Development-and-Peace-Triple-Nexus-in-Ethiopia.pdf,,"Implementation Roadmap For Nutrition Centric-Humanitarian, Development And Peace Triple Nexus Operationalization In Ethiopia.webp","Implementation Roadmap For Nutrition Centric-Humanitarian, Development And Peace Triple Nexus Operationalization In Ethiopia.pdf"
Implementing the Humanitarian-Development-Peace Nexus in a Post-Pandemic World: Multilateral Cooperation and the Challenge of Inter-organisational Dialogue,"This paper examines the implementation of the Humanitarian-Development-Peace (HDP) Nexus in a post-pandemic world, as called for by the UN Secretary General. Implemented since 2016, the HDP Nexus is an innovative policy framework aiming for multilateral cooperation across humanitarian, development, and peace sectors.

The paper discusses strengths and challenges in interorganisational dialogue among major institutions like the UN, EU, and World Bank, in pre- and post-COVID-19 contexts. It highlights the need for effective cooperation and local actor involvement to achieve peace and empowerment in conflict areas. Insights are drawn from activities in Myanmar, Democratic Republic of Congo, and Cameroon.

The paper urges these institutions to capitalize on comparative advantages for better Nexus deliveries and addresses the complexities involved in aligning policies among multilaterals. Ultimately, the paper explores the experimentalist governance approach, emphasizing iterative learning and participative policymaking as necessary for sustainable peace and development.",Journal Article,"Cameroon,Democratic Republic of the Congo","Development,Humanitarian,Peace","Economic Development,Recovery,Governance,Peace & Security,Displacement & Migration,Resilience","7. Programming: Align with risk environment,8. Programming: National and local capacities,2. Coordination: Empowered leadership,11. Financing: Predictable flexible multi-year","Department of Political and Social Sciences, University of Bologna",Eugenia Baroncelli,2022,English,https://onlinelibrary.wiley.com/doi/full/10.1111/1758-5899.13186?msockid=3d6d767094946c242f0663b795006d13,,Implementing the Humanitarian-Development-Peace Nexus in a Post-Pandemic World Multilateral Cooperation and the Challenge of Inter-organisational Dialogue.webp,Implementing the Humanitarian-Development-Peace Nexus in a Post-Pandemic World: Multilateral Cooperation and the Challenge of Inter-organisational Dialogue.pdf
Improving your Programmatic Learning Journey: A Resource Guide for HDP Nexus Practitioners,"This practical guide from the Knowledge Platform Security and Rule of Law (KPSRL), commissioned by the Dutch Ministry of Foreign Affairs, is designed to help humanitarian, development and peacebuilding practitioners strengthen programmatic learning within HDP nexus contexts.

Based on in-depth research with seven organisations and a systematic literature review, the guide addresses a critical gap: despite widespread commitment to adaptive management and learning in the nexus field, few organisations have effective systems for capturing, sharing, and acting on programme learning.

The guide provides strategies, frameworks, and case studies on how programmatic learning happens in practice — covering how organisations conduct learning activities, what enables or prevents meaningful uptake of findings, and how learning translates into programme adaptation. It offers tailored recommendations for practitioners, policymakers, and the Dutch Ministry of Foreign Affairs on creating institutional cultures and systems that support continuous improvement in nexus programming.",Toolkit,,"Humanitarian,Development,Peace","Governance,Resilience","9. Programming: Learning and evidence,7. Programming: Align with risk environment",KPSRL,Dr. Randall Puljek-Shank,2025,English,https://kpsrl.org/sites/kpsrl/files/2025-02/Improving%20Your%20Programmatic%20Learning%20Journey.pdf,,Improving your Programmatic Learning Journey A Resource Guide for HDP Nexus Practitioners.webp,Improving your Programmatic Learning Journey A Resource Guide for HDP Nexus Practitioners.pdf
"In the Eye of the Storm: Humanitarian NGOs, Complex Emergencies, and Conflict Resolution","This journal article by Janice Gross Stein explores the challenges and dilemmas faced by humanitarian NGOs in complex emergencies arising from internal violence and state failures. As major powers disengage, these NGOs play a crucial role in delivering relief, yet they face criticism for inadvertently exacerbating conflict through asset transfer and inadequate coordination. 

The paper discusses strategies that NGOs can adopt, such as adjusting the type of aid provided to minimize looting and collaborating with local authorities. It also emphasizes the need for greater security arrangements, potentially involving regional or private security forces, to ensure aid does not fuel conflict.

The author suggests that NGOs must balance their humanitarian ethics with the harsh realities of politically manipulating relief operations to avoid doing harm. Ultimately, Stein argues that while humanitarian efforts face many challenges, thoughtful choices in programming and collaboration can mitigate negative externalities and enhance conflict resolution.",Journal Article,Burundi,"Humanitarian,Peace","Governance,Peace & Security,Protection,Social Cohesion,Displacement & Migration,Resilience","6. Programming: Do no harm,4. Programming: Prioritising prevention,8. Programming: National and local capacities,3. Coordination: Political engagement,11. Financing: Predictable flexible multi-year",Nova Southeastern University,Janice Gross Stein,2001,English,https://nsuworks.nova.edu/cgi/viewcontent.cgi?article=1012&amp;context=pcs/,,"In the Eye of the Storm Humanitarian NGOs, Complex Emergencies, and Conflict Resolution.webp","In the Eye of the Storm Humanitarian NGOs, Complex Emergencies, and Conflict Resolution.pdf"
INFF Assessment and Diagnostics: Financing Landscape,"The guide on INFF Assessment and diagnostics provides a framework for analyzing a country's financing landscape. It discusses the scope, value, and practical implementation of financing landscape assessments, highlighting their role in identifying financing gaps and opportunities for effective alignment with sustainable development goals (SDGs). 

The guide details various financing sources, including public and private funds, and emphasizes the significance of remittances, blended finance, and impact investments. Challenges in data availability and comparability are considered, alongside methodological tools for comprehensive assessments.

The document stresses the importance of stakeholder engagement and differentiated analyses tailored to specific country contexts, including fragile and conflict-affected areas. Lessons learned from prior assessments underscore the need for inclusive and accessible financial analyses that inform strategic, integrated approaches to national sustainable development financing.",Guide,"Cambodia,Egypt,Guyana,Indonesia",Development,"Climate,Gender,Health,Peace & Security,Economic Development,Food Security & Nutrition,Protection,Governance","7. Programming: Align with risk environment,9. Programming: Learning and evidence,8. Programming: National and local capacities",Integrated National Financing Frameworks (INFF),Integrated National Financing Frameworks (INFF),2021,English,https://www.inff.org/resources/assessment-and-diagnostics-financing-landscape,,INFF Assessment and Diagnostics Financing Landscape.webp,
Infographic - Humanitarian Development Peace Nexus,"This concise infosheet provides a quick reference guide to the Humanitarian-Development-Peace nexus for practitioners and policymakers. It summarises the key concepts, definitions, and principles of the nexus approach, the OECD DAC Recommendation's 11 guiding principles across coordination, programming, and financing, and provides a brief overview of the evidence base and key challenges. Designed as an accessible entry point for those new to the nexus, as well as a quick reference for experienced practitioners, the infosheet helps build a common understanding of the nexus across different organisational contexts.",Guide,,"Development,Humanitarian,Peace","Governance,Peace & Security,Resilience","1. Coordination: Joint analysis,9. Programming: Learning and evidence",OECD,,2019,English,,,Infographic - Humanitarian Development Peace Nexus.webp,Infographic - Humanitarian Development Peace Nexus_PDF.png
Inform Report 2024,"The INFORM Report 2024 marks the tenth anniversary of the INFORM Risk Index, an initiative to quantify humanitarian crisis risks globally. The index facilitates informed decision-making by aggregating data on crisis severity from various credible sources. Over the decade, the index has evolved into a pivotal tool for strategic planning, combining scientific analyses to improve crisis management outcomes.

The European Union continues to play a substantial role in humanitarian aid, stressing development investments to tackle root causes of crises. Recent updates reflect the growing impact of climatic changes and socio-economic challenges on crises, highlighting the increased risk severity globally. Conflict remains a predominant driver behind the escalating humanitarian crisis risks, while advances in infrastructure and institutions provide some resilience.

This comprehensive report underscores the necessity for evidence-based strategies to build a sustainable future amidst complex global challenges.",Report,"Afghanistan,Bangladesh,Burkina Faso,Cameroon,Central African Republic,Chad,Democratic Republic of the Congo,Haiti","Development,Humanitarian","Climate,Environment,Economic Development,Recovery,Governance,Food Security & Nutrition,Protection,Social Cohesion,Displacement & Migration,Resilience","8. Programming: National and local capacities,10. Financing: Develop evidence-based strategies,11. Financing: Predictable flexible multi-year","INFORM, Inter-Agency Standing Committee (IASC)",INFORM,2024,English,https://drmkc.jrc.ec.europa.eu/inform-index,,Inform Report 2024.webp,Inform Report 2024.pdf
Integrating Conflict Prevention and Peacebuilding into United Nations Development Assistance,"This document examines how conflict prevention and peacebuilding can be systematically integrated into UN development assistance at the country level. It addresses the institutional, operational and programmatic challenges of ensuring that UN development actors — working through the UNDAF/UNSDCF — contribute actively to conflict prevention and peacebuilding, beyond merely avoiding harm.

Key themes include: the role of the UN Resident Coordinator system in promoting coherent peace-development linkages; joint conflict analysis; collective outcomes that include peacebuilding dimensions; and the challenge of balancing development mandates with conflict prevention objectives. The document provides guidance for UN country teams on operationalising the peace pillar of the HDP Nexus.",Guide,,"Development,Peace","Peace & Security,Governance,Social Cohesion,Resilience","1. Coordination: Joint analysis,2. Coordination: Empowered leadership,3. Coordination: Political engagement,4. Programming: Prioritising prevention,8. Programming: National and local capacities,9. Programming: Learning and evidence",WSP International,Tore Rose,2005,English,https://www.interpeace.org/wp-content/uploads/2005/10/2005_IP_Interpeace_Integrating_Peacebuilding_Into_UN_Development_Assistance_Frameworks_EN.pdf,,Integrating Conflict Prevention and Peacebuilding into United Nations Development Assistance.webp,Integrating Conflict Prevention and Peacebuilding into United Nations Development Assistance.pdf
Integrating Peacebuilding into Humanitarian and Development Programming,"The guide by Catholic Relief Services offers practical guidance on integrating peacebuilding into humanitarian and development programming. It underscores the need for cohesion between sectors and provides a conceptual framework distinguishing peacebuilding from conflict sensitivity.

The guide emphasizes the use of conflict analysis to design strategic interventions and stresses the importance of stakeholder engagement in project assessment and design. It also elaborates on monitoring and evaluating integration, promoting equity, and addresses challenges and dilemmas in peacebuilding integration, such as balancing comprehensive peace plans with sector-specific mandates.

The guide further discusses the institutional shifts required to mainstream conflict sensitivity and how integrated programming can enhance program coherence and effectiveness.",Guide,"Burundi,Colombia,Egypt,El Salvador,India","Development,Humanitarian,Peace","Governance,Protection","4. Programming: Prioritising prevention,8. Programming: National and local capacities,3. Coordination: Political engagement",Catholic Relief Services,"Aaron Chassy, Mark Rogers, Tom Bamat",2010,English,https://www.mreza-mira.net/wp-content/uploads/Integrating-Peacebuilding-into-Humanitarian-and-Development-Programming.pdf,,Integrating Peacebuilding into Humanitarian and Development Programming.webp,Integrating Peacebuilding into Humanitarian and Development Programming.pdf
Integrating peacebuilding into the triple nexus: insights from UNICEF's dual mandate,An academic article exploring how UN agencies without a formal peacebuilding mandate can integrate peace outcomes through conflict-sensitive programming and social cohesion strategies. Usefulness/New Knowledge: Addresses the 'missing P' challenge directly by showing how agencies fundamentally lacking peace mandates can still structurally embed social cohesion.,Journal Article,,"Humanitarian,Development,Peace","Peace & Security,Social Cohesion","4. Programming: Prioritising prevention,6. Programming: Do no harm",Taylor & Francis,N/A,2025,English,https://www.tandfonline.com/doi/full/10.1080/09614524.2025.2544902,,Integrating peacebuilding into the triple nexus insights from UNICEF's dual mandate.webp,Integrating peacebuilding into the triple nexus insights from UNICEF's dual mandate.pdf
Integrating the P of the HDP Nexus in Ukraine: WeWorld Experiences and Reflections Integrating Social Cohesion and Peace-Oriented Activities within its Programme in Ukraine,"Practice-oriented report (WeWorld, 2026) providing practical guidance on integrating the peace dimension of the HDP nexus in Ukraine. Grounded in a peer-learning and consultation roundtable convened by WeWorld in December 2025 — bringing together Ukrainian peacebuilding and dialogue practitioners alongside international humanitarian, development and peacebuilding actors — and in WeWorld's own programme experience since March 2022.

The report argues that integrating the ""P"" is less about adding a new thematic strand and more about changing how humanitarian and early recovery work is planned, delivered and adapted. In the Ukrainian context, where it can be politically sensitive to speak explicitly about ""conflict"" and ""peace,"" the report frames peace integration primarily as ""small p"" practice centred on social cohesion and trust.

Entry points covered include: mainstreaming conflict sensitivity across the programme cycle; treating MHPSS as a cohesion enabler; building partnerships with local Ukrainian peacebuilding practitioners; localisation and subgranting to strengthen community-led initiatives; accountability to affected populations; staff care and burnout prevention; light-touch community dialogue and dispute management; and peace education with children. Directed at donors and peer organisations, and closes with an action agenda for more coherent, locally grounded, peace-responsive practice across Ukraine's aid response.",Report,Ukraine,"Humanitarian,Development,Peace","Peace & Security,Conflict Sensitivity,Social Cohesion,Protection,Localisation,Coordination","4. Programming: Prioritising prevention,5. Programming: People at the centre,6. Programming: Do no harm,7. Programming: Align with risk environment,8. Programming: National and local capacities,9. Programming: Learning and evidence",WeWorld,WeWorld Ukraine Staff,2026,English,https://ejbn4fjvt9h.exactdn.com/uploads/2026/02/HDPnexus_Ukraine.pdf,,,Integrating the P of the HDP Nexus in Ukraine WeWorld Experiences and Reflections Integrating Social Cohesion and Peace-Oriented Activities within its Programme in Ukraine.pdf
Inter-Agency Humanitarian Evaluation on Gender Equality and the Empowerment of Women and Girls,"The document serves as a companion piece to the 2020 Inter-Agency Humanitarian Evaluation on Gender Equality and the Empowerment of Women and Girls (GEEWG). It emphasizes the need to mainstream GEEWG within the triple nexus framework combining humanitarian, development, and peace efforts. Despite broad consensus on its importance, significant barriers such as lack of strategic discussion, coordination, resources, and understanding of GEEWG integration hinder progress.

The document proposes the establishment of a Task Force to lead country-level pilots, aiming to clarify and operationalize gender mainstreaming within the nexus. Insights from these pilots could foster transformative change and enhance gender accountability mechanisms. The suggested actions target key bodies such as the Inter-Agency Standing Committee and UN agencies to encourage further understanding and implementation of GEEWG initiatives. These efforts are crucial to scale-up gender equality mainstreaming, ensuring that it becomes a cross-cutting theme in nexus processes globally, with improved strategic vision and resource allocation.",Evaluation,Democratic Republic of the Congo,"Development,Humanitarian,Peace","Gender,Governance","5. Programming: People at the centre,8. Programming: National and local capacities,1. Coordination: Joint analysis",Inter-Agency Humanitarian Evaluation,Inter-Agency Humanitarian Evaluation,2021,English,https://evaluationreports.unicef.org/GetDocument?documentID=17876&fileID=42085,,Inter-Agency Humanitarian Evaluation on Gender Equality and the Empowerment of Women and Girls.webp,Inter-Agency Humanitarian Evaluation on Gender Equality and the Empowerment of Women and Girls.pdf
Inter-Agency Standing Committee (IASC) Country Brief on the Humanitarian-Development-Peace Nexus: Colombia,"The IASC Country Brief on Colombia addresses the complex interplay of armed conflict, migration, illegal business, and natural disasters affecting human rights and civilian protection. The Humanitarian-Development-Peace (HDP) nexus approach aims to align strategic priorities of peace, migration, and sustainable development through the UNSDCF, HRP, and RMRP plans.

Key steps in operationalizing the nexus include leadership coordination, joint analysis, collective outcomes focusing on PDETs affected by conflict and violence, and integrated planning and programming at national and regional levels. Lessons highlight the importance of local coordination networks, national NGO involvement, and alignment with government plans, while challenges remain in shared understanding of nexus implementation.

Gender considerations are embedded across plans, ensuring mainstreaming and tailored outcomes. The brief emphasizes local actors' involvement to enhance project sustainability, accountability, and resilience.",Case Study,Colombia,"Development,Humanitarian,Peace","Peace & Security,Protection,Displacement & Migration,Resilience","8. Programming: National and local capacities,10. Financing: Develop evidence-based strategies",Inter-Agency Standing Committee (IASC),Inter-Agency Standing Committee (IASC),2021,English,https://interagencystandingcommittee.org/system/files/2021-09/Country%20Brief%20on%20the%20Humanitarian-Development-%20Peace%20Nexus%20%28Colombia%29.pdf,,Inter-Agency Standing Committee (IASC) Country Brief on the Humanitarian-Development-Peace Nexus Colombia.webp,Country Brief on the Humanitarian-Development- Peace Nexus (Colombia).pdf
"Interlinking Humanitarian Aid, Development Cooperation, and Peacebuilding in Displacement Contexts: The Added Value of the HDP Nexus' Peace Component","The commentary explores the Humanitarian-Development-Peace (HDP) nexus with a focus on forced displacement contexts. With forced displacement reaching record numbers, there is a need for enhanced coordination across humanitarian aid, development cooperation, and peacebuilding. The HDP nexus introduces a peace component, aiming to address structural causes of displacement and ensure durable solutions, such as local integration, return, or resettlement. Both 'small p' and 'big P' peace measures are discussed, with 'small p' emphasizing social cohesion and local conflict management, and 'big P' focusing on broader national/regional peacebuilding.

The German government is encouraged to support the UN's Action Agenda on Internal Displacement, decentralize decision-making, use 'trilingual' experts, and overcome organizational disincentives. The HDP nexus offers a comprehensive approach for addressing displacement, enhancing collaboration, and fulfilling the needs for peace and security as preconditions for refugee return.",Policy Paper,"Cameroon,Democratic Republic of the Congo","Development,Humanitarian,Peace","Peace & Security,Social Cohesion,Protection,Displacement & Migration,Governance,Resilience","7. Programming: Align with risk environment,6. Programming: Do no harm,9. Programming: Learning and evidence,1. Coordination: Joint analysis,2. Coordination: Empowered leadership","Stiftung Wissenschaft und Politik (SWP), ZIF (Center for International Peace Operations)","Amrei Meier, Barbara Kobler, Nadine Biehler",2023,English,https://www.swp-berlin.org/publications/products/comments/2023C58_HDPNexusPeaceComponent.pdf,,"Interlinking Humanitarian Aid, Development Cooperation, and Peacebuilding in Displacement Contexts The Added Value of the HDP Nexus' Peace Component.webp","Interlinking Humanitarian Aid, Development Cooperation, and Peacebuilding in Displacement Contexts The Added Value of the HDP Nexus' Peace Component.pdf"
International Assistance in Gaza: Aiding Fragmentation or Unity?,"This paper examines how international assistance in Gaza has interacted with the political fragmentation of Palestinian governance and the ongoing conflict context. It analyses whether and how aid has contributed to or mitigated the political division between the West Bank and Gaza, and the implications for humanitarian principles, development programming and peacebuilding in the Palestinian context. 

Key issues include: the political economy of aid in a deeply fragmented governance context; humanitarian-development linkages in an environment of protracted siege and active conflict; donor coordination challenges; and the tension between impartial humanitarian response and the political dimensions of the Israeli-Palestinian conflict. The paper draws lessons for conflict-sensitive programming in politically complex environments.",Report,"""Palestine, State of""","Development,Humanitarian,Peace","Governance,Peace & Security,Social Cohesion,Displacement & Migration","3. Coordination: Political engagement,6. Programming: Do no harm,7. Programming: Align with risk environment,9. Programming: Learning and evidence",,,2017,English,https://reliefweb.int/report/occupied-palestinian-territory/international-assistance-gaza-aiding-fragmentation-or-unity,,International Assistance in Gaza Aiding Fragmentation or Unity.webp,International Assistance in Gaza Aiding Fragmentation or Unity.pdf
International Network on Conflict and Fragility (INCAF) Ensuring Fragile states are not left behind,"The report by the OECD International Network on Conflict and Fragility (INCAF) outlines the dynamics of financial resource flows in fragile states. It analyzes the impact of various crises, such as global financial, food, and fuel crises, on aid, trade, foreign direct investment, and domestic revenues in fragile countries.

The report highlights that many fragile states face significant challenges in meeting the Millennium Development Goals (MDGs) due to structural issues, with growth rates and domestic revenue generation being insufficient. ODA (Official Development Assistance) remains concentrated in a few countries, and there is variability in aid effectiveness due to donors' fragmented focus and aid volatility in these regions.

The report suggests that aid could play a catalytic role by fostering domestic revenue mobilization and encouraging trade and investment in fragile states, ultimately reducing aid dependency and supporting post-conflict transitions. It also discusses the evolving engagement of non-DAC donors, notably China's increasing role in fragile states, while emphasizing the need for coherent international policies to maximize developmental impacts and mitigate negative effects.",Guide,"Afghanistan,Angola,Cambodia,Central African Republic,Chad,Democratic Republic of the Congo,Ethiopia,Georgia,Guinea,Haiti,Iraq",Development,"Education,Environment,Health,Economic Development,Peace & Security,Recovery,Livelihoods,Food Security & Nutrition,Disaster Risk Reduction,Social Cohesion,Protection,Governance,Resilience","8. Programming: National and local capacities,10. Financing: Develop evidence-based strategies","OECD, The International Network on Conflict and Fragility (INCAF)","OECD, The International Network on Conflict and Fragility (INCAF)",2011,English,https://one.oecd.org/document/DCD/DAC/INCAF(2012)4/En/pdf,,International Network on Conflict and Fragility (INCAF) Ensuring Fragile states are not left behind.webp,International Network on Conflict and Fragility (INCAF) Ensuring Fragile states are not left behind.pdf
IOM Ukraine and Neighbouring Countries Crisis Response Plan 2026,"This IOM Crisis Response Plan for Ukraine and Neighbouring Countries 2026 sets out IOM's humanitarian, recovery and nexus programming priorities and targets for the year, covering Ukraine and the countries hosting Ukrainian displaced populations including Moldova, Poland, Romania, Hungary, Slovakia, and other neighbouring states.

The plan addresses the full spectrum of the HDP nexus in the Ukraine crisis context: immediate humanitarian assistance to conflict-affected and internally displaced populations; early recovery and resilience programming that bridges acute needs with longer-term stabilisation; and engagement on peacebuilding and social cohesion dimensions in a context of active armed conflict.

It outlines IOM's programming across its key mandated areas including emergency shelter and non-food items, health and psychosocial support, protection, livelihoods, and displacement tracking, with specific attention to the challenges of maintaining nexus approaches in an active conflict environment where humanitarian principles must remain paramount.",Report,Ukraine,"Humanitarian,Development,Peace","Displacement & Migration,Resilience","8. Programming: National and local capacities,1. Coordination: Joint analysis",IOM,IOM,2026,English,https://crisisresponse.iom.int/response/ukraine-and-neighbouring-countries-crisis-response-plan-2026,,IOM Ukraine and Neighbouring Countries Crisis Response Plan 2026.webp,IOM Ukraine and Neighbouring Countries Crisis Response Plan 2026.pdf
IRC 2025 Emergency Watchlist,"The International Rescue Committee's annual Emergency Watchlist identifies the 20 countries most at risk of new or worsening humanitarian emergencies, using a rigorous methodology combining 74 quantitative and qualitative variables. The 2025 edition documents how humanitarian needs are increasingly concentrated in Emergency Watchlist countries — at the intersection of fragility, conflict, climate vulnerability, and declining ODA — and outlines key imbalances the sector must address. 

For nexus practitioners, the Watchlist's policy recommendations are directly relevant: they call for development actors to commit half of all bilateral ODA to fragile and conflict-affected states; for donors to fund anticipatory action for climate-vulnerable communities; and for localisation reforms that genuinely shift decision-making power. The report provides IRC's frank analysis of systemic failures — including the USAID collapse — and what a more coherent HDP approach would require from donors and multilateral institutions.",Report,,"Humanitarian,Development,Peace","Financing,Policy & Strategy,Resilience,Displacement & Migration","7. Programming: Align with risk environment,8. Programming: National and local capacities",International Rescue Committee (IRC),IRC,2025,English,https://www.rescue.org/watchlist2025,,IRC 2025 Emergency Watchlist.webp,IRC 2025 Emergency Watchlist.pdf
Joined-up Action for Humanitarian and Development Collective Outcomes to Accelerate SDG 6,"This report from the WASH Cluster and development partners examines how joint humanitarian and development action — structured around collective outcomes — can accelerate progress on water, sanitation, and hygiene (WASH) in fragile and crisis-affected contexts. Drawing on country case studies, the report documents examples of successful nexus approaches in WASH programming, including shared analysis, joint planning, and collaborative financing. It provides recommendations for WASH clusters, development agencies, and donors on operationalising nexus principles to deliver more sustainable WASH outcomes for affected populations.",Report,,"Development,Humanitarian","Resilience,Governance","1. Coordination: Joint analysis,8. Programming: National and local capacities,9. Programming: Learning and evidence,11. Financing: Predictable flexible multi-year","UN 2023 Water Conference, WASH Cluster, Sanitation and Water for All","WASH Cluster, Sanitation and Water for All",2023,English,https://www.washcluster.net/sites/gwc.com/files/inline-files/UN%20Water%2023%20-%20Global%20Advocacy%20Brief4_1.pdf,,Joined-up Action for Humanitarian and Development Collective Outcomes to Accelerate SDG 6.webp,Joined-up Action for Humanitarian and Development Collective Outcomes to Accelerate SDG 6.pdf
